Date;Download;Upload;Ping
2020/07/25 11:20:27;88.79;89.66;4.96
2020/07/25 11:25:26;88.99;4.7;4.55
2020/07/25 11:30:30;54.9;89.34;5.5
2020/07/25 11:35:26;89.25;82.57;4.44
2020/07/25 11:40:26;88.54;88.6;4.45
2020/07/25 11:45:28;89.12;86.63;4.67
2020/07/25 11:50:27;88.71;89.24;4.86
2020/07/25 11:55:26;88.93;86.68;4.41
2020/07/25 12:00:26;88.92;85.3;5.41
2020/07/25 12:05:26;89.04;89.86;4.54
2020/07/25 12:10:25;87.05;89.3;4.75
2020/07/25 12:15:25;89.4;89.12;4.37
2020/07/25 12:20:25;89.34;89.73;4.33
2020/07/25 12:25:24;88.49;89.66;4.28
2020/07/25 12:30:24;86.85;89.39;5.38
2020/07/25 12:35:24;86.97;89.71;4.34
2020/07/25 12:40:25;86.53;89.51;4.7
2020/07/25 12:45:25;85.07;89.81;4.28
2020/07/25 12:50:25;89.35;89.34;4.35
2020/07/25 12:55:24;89.15;89.62;4.23
2020/07/25 13:00:24;89.16;89.49;4.77
2020/07/25 13:05:24;89.0;89.68;4.05
2020/07/25 13:10:25;88.98;89.5;4.73
2020/07/25 13:15:25;89.07;89.4;4.65
2020/07/25 13:20:25;89.37;89.2;4.37
2020/07/25 13:25:25;89.13;89.62;4.04
2020/07/25 13:30:25;89.11;89.26;4.54
2020/07/25 13:35:25;89.02;89.31;4.04
2020/07/25 13:40:24;88.99;89.55;4.38
2020/07/25 13:45:24;89.04;89.8;4.01
2020/07/25 13:50:24;89.05;89.71;4.7
2020/07/25 13:55:25;88.8;89.46;4.3
2020/07/25 14:00:25;89.11;89.83;4.67
2020/07/25 14:05:25;89.22;89.24;4.15
2020/07/25 14:10:24;89.29;89.37;4.33
2020/07/25 14:15:24;88.87;89.55;4.1
2020/07/25 14:20:24;89.29;89.18;4.66
2020/07/25 14:25:24;89.17;89.51;4.16
2020/07/25 14:30:24;89.32;89.35;4.35
2020/07/25 14:35:25;89.38;89.58;4.33
2020/07/25 14:40:25;89.27;89.34;4.29
2020/07/25 14:45:25;88.98;89.64;4.67
2020/07/25 14:50:24;89.23;89.5;4.82
2020/07/25 14:55:24;88.9;89.25;4.34
2020/07/25 15:00:24;89.33;89.51;4.35
2020/07/25 15:05:24;89.3;89.57;4.57
2020/07/25 15:10:24;89.33;89.64;4.39
2020/07/25 15:15:25;88.88;89.7;4.71
2020/07/25 15:20:25;89.39;89.15;4.42
2020/07/25 15:25:25;88.48;89.73;4.28
2020/07/25 15:30:25;88.92;89.4;4.22
2020/07/25 15:35:25;89.15;89.81;4.64
2020/07/25 15:40:24;89.28;89.7;4.24
2020/07/25 15:45:24;89.31;89.68;4.32
2020/07/25 15:50:25;89.32;89.61;4.66
2020/07/25 15:55:25;88.98;89.27;4.24
2020/07/25 16:00:25;89.07;89.41;4.73
2020/07/25 16:05:25;89.31;89.38;4.68
2020/07/25 16:10:24;89.42;89.83;4.29
2020/07/25 16:15:24;89.07;89.39;4.08
2020/07/25 16:20:25;89.11;89.57;4.33
2020/07/25 16:25:25;89.31;89.62;4.39
2020/07/25 16:30:25;88.65;89.42;4.61
2020/07/25 16:35:24;89.18;89.48;4.68
2020/07/25 16:40:24;89.28;89.47;4.31
2020/07/25 16:45:25;87.83;88.92;5.8
2020/07/25 16:50:25;89.15;89.4;4.28
2020/07/25 16:55:25;89.23;89.52;4.72
2020/07/25 17:00:25;88.86;89.55;4.52
2020/07/25 17:05:24;87.65;89.66;4.26
2020/07/25 17:10:24;89.41;89.33;4.58
2020/07/25 17:15:25;87.92;89.36;4.27
2020/07/25 17:20:25;89.4;89.42;4.25
2020/07/25 17:25:25;89.02;89.44;4.12
2020/07/25 17:30:24;89.0;89.31;4.52
2020/07/25 17:35:24;89.21;89.09;4.48
2020/07/25 17:40:25;88.78;89.73;4.51
2020/07/25 17:45:25;89.19;89.2;3.99
2020/07/25 17:50:25;88.82;89.65;4.28
2020/07/25 17:55:25;89.16;89.67;4.73
2020/07/25 18:00:25;88.9;89.68;4.75
2020/07/25 18:05:24;89.37;89.59;4.15
2020/07/25 18:10:24;89.26;89.69;4.28
2020/07/25 18:15:24;89.13;89.78;4.17
2020/07/25 18:20:24;89.31;89.58;4.34
2020/07/25 18:25:25;89.09;89.44;4.15
2020/07/25 18:30:25;89.39;89.54;4.38
2020/07/25 18:35:25;89.05;89.67;4.24
2020/07/25 18:40:24;89.18;89.46;4.42
2020/07/25 18:45:24;89.18;89.4;4.71
2020/07/25 18:50:24;89.26;89.43;4.35
2020/07/25 18:55:25;89.01;89.43;4.04
2020/07/25 19:00:25;89.25;89.13;4.79
2020/07/25 19:05:25;88.98;89.81;4.75
2020/07/25 19:10:25;89.43;89.81;4.41
2020/07/25 19:15:24;88.88;89.48;4.21
2020/07/25 19:20:24;89.08;89.32;4.63
2020/07/25 19:25:24;88.83;89.55;4.39
2020/07/25 19:30:25;89.38;89.62;4.39
2020/07/25 19:35:25;88.72;89.17;4.35
2020/07/25 19:40:25;89.24;89.66;4.29
2020/07/25 19:45:25;89.1;89.83;4.53
2020/07/25 19:50:25;89.42;89.39;4.38
2020/07/25 19:55:24;89.27;89.79;4.16
2020/07/25 20:00:24;89.21;89.36;4.61
2020/07/25 20:05:24;89.05;89.39;4.14
2020/07/25 20:10:24;88.7;89.4;4.6
2020/07/25 20:15:25;89.4;89.59;4.23
2020/07/25 20:20:25;89.34;89.48;4.42
2020/07/25 20:25:25;89.07;89.42;4.3
2020/07/25 20:30:25;89.08;89.49;4.64
2020/07/25 20:35:24;89.31;89.67;4.4
2020/07/25 20:40:24;89.32;89.76;4.36
2020/07/25 20:45:24;89.4;89.31;4.5
2020/07/25 20:50:25;89.28;89.82;4.33
2020/07/25 20:55:25;89.16;89.49;5.07
2020/07/25 21:00:25;89.45;89.2;4.48
2020/07/25 21:05:24;89.21;89.46;4.39
2020/07/25 21:10:24;89.17;89.35;4.77
2020/07/25 21:15:24;89.36;89.49;4.38
2020/07/25 21:20:25;89.38;89.63;4.29
2020/07/25 21:25:25;89.3;89.17;4.72
2020/07/25 21:30:25;89.25;89.73;4.39
2020/07/25 21:35:24;88.78;89.8;4.29
2020/07/25 21:40:24;89.08;89.03;4.04
2020/07/25 21:45:24;89.36;89.39;4.2
2020/07/25 21:50:25;89.0;89.0;5.27
2020/07/25 21:55:25;89.21;89.46;4.56
2020/07/25 22:00:25;89.13;89.5;4.85
2020/07/25 22:05:25;89.37;89.77;4.36
2020/07/25 22:10:24;89.37;89.24;4.41
2020/07/25 22:15:24;89.23;89.15;4.23
2020/07/25 22:20:25;89.25;89.24;4.22
2020/07/25 22:25:25;89.02;89.65;4.65
2020/07/25 22:30:25;89.2;89.79;4.26
2020/07/25 22:35:24;89.34;89.41;4.36
2020/07/25 22:40:24;89.39;89.42;4.4
2020/07/25 22:45:24;89.23;89.88;4.27
2020/07/25 22:50:25;89.32;89.3;4.41
2020/07/25 22:55:25;89.1;89.41;4.72
2020/07/25 23:00:25;89.16;89.7;5.57
2020/07/25 23:05:25;89.31;89.0;4.22
2020/07/25 23:10:24;89.31;89.68;4.47
2020/07/25 23:15:24;89.15;89.44;3.92
2020/07/25 23:20:24;89.06;89.74;4.42
2020/07/25 23:25:25;89.42;89.51;4.34
2020/07/25 23:30:25;89.26;88.96;4.94
2020/07/25 23:35:25;87.69;89.86;4.31
2020/07/25 23:40:25;88.09;89.66;5.04
2020/07/25 23:45:24;89.3;89.62;4.4
2020/07/25 23:50:24;89.04;89.38;4.57
2020/07/25 23:55:25;89.32;87.64;4.37
2020/07/26 00:00:25;89.08;89.3;4.54
2020/07/26 00:05:25;89.37;89.57;4.21
2020/07/26 00:10:24;89.4;89.48;4.26
2020/07/26 00:15:24;89.31;89.81;4.32
2020/07/26 00:20:24;88.7;89.47;4.29
2020/07/26 00:25:24;89.3;89.39;4.28
2020/07/26 00:30:25;89.21;89.54;4.68
2020/07/26 00:35:25;89.11;89.54;4.34
2020/07/26 00:40:25;89.25;89.15;5.34
2020/07/26 00:45:25;89.37;89.61;4.37
2020/07/26 00:50:25;89.35;89.63;4.21
2020/07/26 00:55:25;89.42;89.54;4.38
2020/07/26 01:00:24;89.15;89.63;4.39
2020/07/26 01:05:24;89.38;89.41;4.32
2020/07/26 01:10:24;89.15;89.08;4.47
2020/07/26 01:15:25;89.13;89.41;4.26
2020/07/26 01:20:25;89.15;89.34;4.63
2020/07/26 01:25:25;89.28;89.5;4.29
2020/07/26 01:30:25;89.35;89.9;4.28
2020/07/26 01:35:24;89.27;89.76;4.28
2020/07/26 01:40:24;88.94;89.59;4.19
2020/07/26 01:45:24;89.36;89.52;4.25
2020/07/26 01:50:25;89.31;89.55;4.35
2020/07/26 01:55:25;89.34;88.79;4.44
2020/07/26 02:00:25;89.11;87.24;4.66
2020/07/26 02:05:24;89.26;89.41;4.33
2020/07/26 02:10:24;89.35;89.62;4.51
2020/07/26 02:15:24;89.3;89.62;4.37
2020/07/26 02:20:24;89.3;89.56;4.35
2020/07/26 02:25:25;88.99;89.46;4.11
2020/07/26 02:30:25;89.2;89.33;4.89
2020/07/26 02:35:25;89.35;89.26;4.12
2020/07/26 02:40:24;89.23;89.78;4.3
2020/07/26 02:45:24;89.35;89.53;4.34
